,state,county,total_votes,dem_votes,rep_votes,other_votes,dem_share,east_west
829,IA,Shelby County,6453,2863,3488,102,45.08,west
830,IA,Audubon County,3435,1739,1634,62,51.56,west
831,IA,Poweshiek County,10031,5519,4340,172,55.98,west
832,IA,Polk County,214386,120984,89668,3734,57.43,west
833,IA,Jasper County,19421,10250,8794,377,53.82,west
834,IA,Guthrie County,5847,2625,3074,148,46.06,west
835,IA,Johnson County,72975,51027,20732,1216,71.11,west
836,OH,Lake County,121335,60155,59142,2038,50.46,east
837,PA,Crawford County,38134,16780,20750,604,44.71,east
838,IL,Rock Island County,68401,42210,25364,827,62.47,east
839,RI,Bristol County,25807,16162,9260,385,63.58,east
840,IA,Scott County,86371,48927,36365,1079,57.37,west
841,RI,Kent County,83678,48406,33780,1492,58.9,east
842,IN,Elkhart County,71458,31398,39396,664,44.34,east
843,IN,Saint Joseph County,118389,68710,48510,1169,58.59,east
844,IN,LaPorte County,208757,28258,17918,743,61.18,east
845,IN,Steuben County,14146,6284,7674,188,44.98,east
846,IN,LaGrange County,9491,3663,5702,126,39.11,east
847,NE,Colfax County,3203,1125,2018,60,35.79,west
848,NE,Platte County,13420,3796,9373,251,28.83,west
849,NE,Dodge County,15550,6689,8557,304,43.88,west
850,NE,McPherson County,293,45,240,8,15.79,west
851,NE,Arthur County,263,39,217,7,15.24,west
852,NE,Greeley County,1199,458,715,26,39.05,west
853,NE,Custer County,5578,1192,4301,85,21.7,west
854,NE,Logan County,416,81,327,8,19.85,west
855,NE,Valley County,2423,706,1657,60,29.88,west
856,OH,Lucas County,219830,142852,73706,3272,65.99,east
857,IL,Will County,286420,160406,122597,3417,56.68,east
858,IL,Kendall County,46631,24742,21380,509,53.64,east
859,OH,Fulton County,21973,9900,11689,384,45.88,east
860,OH,Geauga County,51102,21250,29096,756,42.23,east
861,CT,New London County,124874,74776,48491,1607,60.69,east
862,IN,Lake County,208757,139301,67742,1714,67.24,east
863,IN,Porter County,73916,39178,33857,881,53.64,east
864,OH,Williams County,18397,8174,9880,343,45.26,east
865,NE,Banner County,416,62,348,6,15.12,west
866,NE,Washington County,10320,3711,6425,184,36.61,west
867,RI,Newport County,41841,25479,15717,645,61.85,east
868,CT,Fairfield County,413741,242936,167736,3069,59.17,east
869,WY,Laramie County,41625,16072,24549,1004,39.56,west
870,RI,Washington County,168633,116156,49810,2667,69.99,east
871,PA,Wyoming County,13138,5985,6983,170,46.15,east
872,CT,Middlesex County,87252,52983,32918,1351,61.69,east
873,CT,New Haven County,382886,233589,144650,4647,61.74,east
874,PA,Lackawanna County,107876,67520,39488,868,63.1,east
875,NY,Orange County,151982,78326,72042,1614,52.09,east
876,IL,La Salle County,50185,27443,21872,870,55.65,east
877,PA,Elk County,14271,7290,6676,305,52.2,east
878,PA,Forest County,2444,1038,1366,40,43.18,east
879,PA,Venango County,23307,9238,13718,351,40.24,east
880,OH,Erie County,41229,23148,17432,649,57.01,east
881,OH,Wood County,65022,34285,29648,1089,53.61,east
882,PA,Cameron County,2245,879,1323,43,39.92,east
883,PA,Pike County,24284,11493,12518,273,47.87,east
884,IA,Muscatine County,19119,10920,7929,270,57.94,west
885,PA,Lycoming County,49237,18381,30280,576,37.77,east
886,PA,Sullivan County,3120,1233,1841,46,40.11,east
887,IL,Bureau County,17113,8889,7911,313,52.91,east
888,IL,Henry County,24785,13181,11263,341,53.92,east
889,WY,Uinta County,8383,2317,5763,303,28.68,west
890,IN,DeKalb County,17149,7175,9780,194,42.31,east
891,IN,Noble County,16974,7064,9673,237,42.19,east
892,NE,Nance County,1707,549,1116,42,32.97,west
893,NY,Putnam County,47244,21613,25145,486,46.23,east
894,MA,Dukes County,10553,7913,2442,198,76.42,east
895,OH,Lorain County,146859,85276,59068,2515,59.1,east
896,IA,Washington County,10626,5170,5247,209,49.63,west
897,IA,Warren County,24880,12299,12144,437,50.32,west
898,IA,Keokuk County,5361,2518,2712,131,48.14,west
899,IA,Madison County,8480,3733,4579,168,44.91,west
900,IA,Mahaska County,10932,4464,6271,197,41.58,west
901,IA,Marion County,17030,7421,9256,353,44.5,west
902,IA,Pottawattamie County,42320,20436,21237,647,49.04,west
903,IA,Cass County,7350,3211,4006,133,44.5,west
904,IA,Adair County,4053,1924,2060,69,48.29,west
905,OH,Trumbull County,106911,64145,40164,2602,61.48,east
906,PA,Mercer County,53821,26411,26565,845,49.85,east
907,OH,Henry County,14840,6320,8239,281,43.43,east
908,IN,Marshall County,18550,7889,10406,255,43.1,east
909,PA,Clinton County,14791,7097,7504,190,48.61,east
910,CA,Humboldt County,63727,39692,21713,2322,64.63,west
911,IL,Grundy County,22171,11063,10687,421,50.87,east
912,NE,Butler County,3839,1190,2557,92,31.76,west
913,NE,Saunders County,10212,3767,6188,257,37.84,west
914,IN,Kosciusko County,30134,9236,20488,410,31.03,east
915,NE,Cheyenne County,4839,1173,3572,94,24.72,west
916,PA,Clarion County,17766,6756,10737,273,38.62,east
917,UT,Weber County,73394,25666,45885,1843,35.87,west
918,IN,Starke County,9466,4778,4473,215,51.64,east
919,PA,Luzerne County,135175,72492,61127,1556,54.25,east
920,OH,Defiance County,19195,8399,10407,389,44.69,east
921,IA,Louisa County,4920,2523,2314,83,52.16,west
922,NE,Keith County,3968,974,2942,52,24.88,west
923,NE,Lincoln County,16277,5046,10817,414,31.81,west
924,MA,Nantucket County,6052,4073,1863,116,68.62,east
925,NE,Polk County,2543,668,1822,53,26.83,west
926,NE,Kimball County,1811,439,1346,26,24.59,west
927,NE,Merrick County,3431,986,2375,70,29.34,west
928,NE,Howard County,2996,1083,1847,66,36.96,west
929,NE,Sherman County,1572,585,950,37,38.11,west
930,NE,Douglas County,226701,116810,106291,3600,52.36,west
931,UT,Morgan County,4161,689,3311,161,17.23,west
932,PA,Jefferson County,18802,6447,12057,298,34.84,east
933,CA,Trinity County,6374,3233,2940,201,52.38,west
934,NY,Westchester County,413044,261810,147824,3410,63.91,east
935,NJ,Sussex County,74154,28840,44184,1130,39.49,east
936,OH,Portage County,78206,41856,34822,1528,54.59,east
937,IL,Mercer County,8848,4887,3833,128,56.04,east
938,IL,Putnam County,3337,1900,1378,59,57.97,east
939,NY,Rockland County,132193,69543,61752,898,52.97,east
940,PA,Columbia County,28063,13230,14477,356,47.75,east
941,IL,Kankakee County,48016,24750,22527,739,52.35,east
942,IN,Whitley County,15188,5862,9124,202,39.11,east
943,NY,Suffolk County,659779,346549,307021,6209,53.03,east
944,OH,Huron County,25582,12076,12884,622,48.36,east
945,IN,Jasper County,12875,5044,7669,162,39.68,east
